date,country,confirmed,deaths,death_rate,new_cases,new_deaths,acceleration_cases,acceleration_deaths,days_since_100,days_since_10,double_5_cases,double_1_deaths,double_20_cases,double_3_cases,double_3_deaths,double_5_deaths,double_1_cases,double_10_deaths,double_10_cases,double_20_deaths
2020-03-30,US: Louisiana,4025.0,186.0,0.0462111801242236,485.0,34.0,260.0,19.0,16,10,823.9999999999986,8192.0,173.22466154226535,3296.0000000000005,128.0,55.71523605095189,3.375104e6,29.85705572917783,291.32799384885743,21.85664410807034
2020-03-31,US: Louisiana,5237.0,240.0,0.04582776398701547,1212.0,54.0,727.0,20.0,17,11,946.5274445175552,16384.0,179.33341603900175,4152.699780453502,161.26989438654377,63.99999999999993,6.750208e6,31.999999999999993,312.2376127011418,22.627416997969537
2020-04-01,US: Louisiana,6424.0,273.0,0.04249688667496887,1187.0,33.0,-25.0,-21.0,18,12,1087.2745184768628,32768.0,185.65759529783122,5232.073867287186,203.18733465192955,73.51669471981015,1.3500416e7,34.29675080116137,334.64798729876884,23.425371135130025
2020-04-02,US: Louisiana,9150.0,310.0,0.033879781420765025,2726.0,37.0,1539.0,4.0,19,13,1248.9504508045654,65536.0,192.20479625658254,6592.000000000001,256.0,84.44850628946512,2.7000832e7,36.75834735990511,358.6668320780029,24.25146506416639
2020-04-03,US: Louisiana,10297.0,370.0,0.03593279595998835,1147.0,60.0,-1579.0,23.0,20,14,1434.6673283120094,131072.0,198.98288375851843,8305.399560907004,322.53978877308754,97.00586025666533,5.4001664e7,39.39662122703731,384.4095925131644,25.106691132696046
2020-04-04,US: Louisiana,12496.0,412.0,0.03297055057618438,2199.0,42.0,1052.0,-18.0,21,15,1647.9999999999961,262144.0,206.00000000000026,10464.147734574371,406.3746693038591,111.4304721019037,1.08003328e8,42.2242531447326,411.9999999999997,25.99207668339956
2020-04-05,US: Louisiana,13010.0,477.0,0.036664104534973097,514.0,65.0,-1685.0,23.0,22,16,1893.054889035109,524288.0,213.26457431132405,13184.000000000002,512.0,127.99999999999977,2.16006656e8,45.25483399593902,441.5706665649525,26.908685288118892
2020-04-06,US: Louisiana,14867.0,512.0,0.034438689715477235,1857.0,35.0,1343.0,-30.0,23,17,2174.549036953724,1.048576e6,220.7853332824767,16610.79912181401,645.0795775461751,147.0333894396202,4.32013312e8,48.502930128332714,473.2637222587781,27.857618025476004
2020-03-09,US: Ohio,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,US: Ohio,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,US: Ohio,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
