date,country,metric,point_forecast,lo_80,hi_80,lo_95,hi_95,population
2022-01-02,China: Liaoning,recovered,-0.0024218911630724473,-86.99129437199407,86.98645058966794,-133.04042184532298,133.03557806299685,4.3746323e7
2022-01-03,China: Liaoning,recovered,-0.0025063422883029756,-89.8334879828212,89.8284752982446,-137.3871371639935,137.38212447941686,4.3746323e7
2022-01-04,China: Liaoning,recovered,-0.002585590809908128,-92.60131602793557,92.59614484631574,-141.62012291852102,141.61495173690122,4.3746323e7
2022-01-05,China: Liaoning,recovered,-0.002659957233794829,-95.3005160487125,95.29519613424492,-145.74815375155188,145.7428338370843,4.3746323e7
2022-01-06,China: Liaoning,recovered,-0.002729742321133756,-97.93608181053509,97.93062232589281,-149.77886680896526,149.77340732432302,4.3746323e7
2021-12-18,China: Liaoning,active_cases,786.0467054518226,764.4514931415947,807.6419177620505,753.01967828842,819.0737326152253,4.3746323e7
2021-12-19,China: Liaoning,active_cases,786.0859927386261,754.8632796551759,817.3087058220764,738.3349737484658,833.8370117287865,4.3746323e7
2021-12-20,China: Liaoning,active_cases,786.1192659965019,747.0664712314041,825.1720607615997,726.3931704626876,845.8453615303162,4.3746323e7
2021-12-21,China: Liaoning,active_cases,786.1474458424457,740.1905269296691,832.1043647552223,715.862403608353,856.4324880765383,4.3746323e7
2021-12-22,China: Liaoning,active_cases,786.1713119670185,733.9130694276854,838.4295545063516,706.2492268740739,866.0933970599631,4.3746323e7
2021-12-23,China: Liaoning,active_cases,786.1915247071189,728.074860101383,844.3081893128548,697.3097562388865,875.0732931753513,4.3746323e7
2021-12-24,China: Liaoning,active_cases,786.2086433164313,722.5836771008495,849.8336095320132,688.9026545034684,883.5146321293943,4.3746323e7
2021-12-25,China: Liaoning,active_cases,786.2231414390677,717.380094865068,855.0661880130674,680.9367873829873,891.5094954951481,4.3746323e7
2021-12-26,China: Liaoning,active_cases,786.2354202145303,712.422696616762,860.0481438122987,673.3486010322234,899.1222393968372,4.3746323e7
2021-12-27,China: Liaoning,active_cases,786.2458193765904,707.6808277816881,864.8108109714926,666.0910334813664,906.4006052718144,4.3746323e7
2021-12-28,China: Liaoning,active_cases,786.2546266531692,703.1307106823621,869.3785426239764,659.127567596843,913.3816857094954,4.3746323e7
2021-12-29,China: Liaoning,active_cases,786.2620857273032,698.7532129728093,873.7709584817972,652.4288139825015,920.0953574721049,4.3746323e7
2021-12-30,China: Liaoning,active_cases,786.268402979457,694.5324925996888,878.0043133592253,645.9704350573209,926.5663709015932,4.3746323e7
2021-12-31,China: Liaoning,active_cases,786.2737531977358,690.4551354007317,882.0923709947399,639.7318231032336,932.815683292238,4.3746323e7
